gen,chase,align,cohension,separate
41,203.65270904224082,396.59904273228483,317.5220999723324,279.9441350623717
42,205.61282921571265,396.8469124983531,316.57995083857236,279.94156134236476
43,204.37736916175334,399.10169319015256,320.30996603220683,280.02151459353286
44,204.14632557568203,398.6763168337664,320.29548642240803,281.1049445269289
45,202.21731601202097,396.60805814817115,320.17131541284124,282.17848884515735
46,201.54588801347546,396.8579916606166,318.66700433447477,282.25452579432806
47,205.52727416004254,397.7879396635849,319.660065436249,276.97949176474054
48,202.457489223054,397.1096311967548,320.1322369965293,280.47517053172413
49,200.78791015886085,396.95807261168784,319.4425869212391,279.8060943975993
50,201.2192722109573,397.2980716793763,319.69800380757863,279.8902163789302
51,201.27187386660617,397.23332783826606,318.95906020743377,279.31281330732827
52,201.0984969237922,399.17107826326804,317.91253720907144,280.4380472940649
53,199.83562945938607,398.1917054419433,315.9625976105564,279.7801356436169
54,199.5315941966059,396.5325713325689,316.60670330488944,281.04742345993384
55,201.7241586712945,397.29389358124894,314.15654347149484,283.08304647202857
56,201.998314292993,395.72154367331734,314.05823998707524,281.55560412463393
57,200.69236109649765,396.6119021182465,313.1961230303717,280.1705524762691
58,200.2171350279012,394.96248024654784,313.4284630167786,280.6683713488856
59,199.52094292912176,393.1024156572504,313.41532221414286,279.74862325863603
60,201.26449786278053,393.5378084975052,311.86175685616615,280.1397452807754
61,201.86095684573485,394.481012107017,312.78944148667387,279.9283757191646
62,200.30741560495932,394.5122377461469,314.00997400149004,279.183135197679
63,200.3979436298384,390.81325960545536,311.3557196170476,277.9713163585072
64,201.518079758405,390.1609640599571,310.0987119974868,275.7225379770111
65,200.73390226118613,389.2328906892018,308.0294502297846,275.44260107887703
66,202.70180599883903,388.397731331984,306.9633989968298,276.509962061936
67,201.9708731800425,387.3459559640843,308.7426866077457,276.7955361215345
68,202.11035460705972,386.0530220578529,308.62560632308026,276.0960784110331
69,202.09230590031933,387.03502685155223,307.8715700852178,277.2443210380375
70,203.12267249653735,384.8653655205608,309.21594125158464,275.9244216508955
71,204.48879709913552,383.490683321389,307.7702478454362,278.3384551949914
72,207.05033152081796,382.8205516155288,309.0956949878065,277.5016109163585
73,207.71469534959235,384.20762906845005,308.86580017004275,277.19680043988654
74,205.9799287162219,384.13729784445854,306.986850812993,276.44746524038334
75,207.75633660595062,383.9897150697625,306.8573118706156,276.7247240303989
76,208.91461474052122,383.9471166464742,308.49071507693276,275.3095681179076
77,207.31711218542088,385.76154541964706,310.76681564844176,273.8215152483681
78,207.97977008918193,384.716363671647,310.48418428623654,273.74958070993125
79,207.03037841310388,384.7897021244494,311.3575114537439,273.19270796107264
80,208.44417501651458,385.6710142890524,309.69792523789437,272.0246378222422
81,207.3842477351193,387.0900446612733,308.98969159701005,270.6685097759209
82,206.55059943866863,385.494922786761,308.89648317668843,272.86860044962253
